Organ	Predictor	UKBPPP.Protein.ID	Assay.Target	UniProt.ID	Olink.ID	Protein.Panel	Gene.Symbol	QR0.025	QR0.1	QR0.2	QR0.3	QR0.4	QR0.5	QR0.6	QR0.7	QR0.8	QR0.9	QR0.975
Conventional	Intercept	Intercept	Intercept	Intercept	Intercept	Intercept	Intercept	51.0141419729316	53.4857969074018	54.860587733246	55.7266638233298	56.4999618913235	57.1537759361178	57.8471186823176	58.5642868554299	59.4140615735783	60.6328112024922	62.7195380176448
Conventional	A1BG	A1BG:P04217:OID30771:v1	A1BG	P04217	OID30771	Inflammation_II	A1BG	0	0.0526324782289034	0.000336050991562263	0	0.012774545877456	0.0216168387287758	0.0278045805870964	0.0359960218367049	0.0398414638298378	0.0647227493357986	0.0185640596775593
Conventional	AAMDC	AAMDC:Q9H7C9:OID30236:v1	AAMDC	Q9H7C9	OID30236	Cardiometabolic_II	AAMDC	0	0	0	0	0	0	0	0	-0.0396414895822253	0	0
Conventional	AARSD1	AARSD1:Q9BTE6:OID21311:v1	AARSD1	Q9BTE6	OID21311	Oncology	AARSD1	0	0	0	0	0	0.00578079013346266	0.00719832201785636	0.0114930528899869	0.025918400482226	0.0730330737344517	0.0431222962818954
Conventional	ABCA2	ABCA2:Q9BZC7:OID30146:v1	ABCA2	Q9BZC7	OID30146	Cardiometabolic_II	ABCA2	0	0	0.00380750761891842	0	0	0.0212618631016572	0	0	0.0216658427956439	0.0515741787555591	0.0176638614438501
Conventional	ABHD14B	ABHD14B:Q96IU4:OID20921:v1	ABHD14B	Q96IU4	OID20921	Neurology	ABHD14B	0	0	0.0862067668785588	0.0718570414007749	0.0798793255742089	0.0564725351282411	0.00743423814365541	0.0764868909042347	0.0119550293289103	0	0
Conventional	ABL1	ABL1:P00519:OID21280:v1	ABL1	P00519	OID21280	Oncology	ABL1	0	0	0	0	0	0	0	0	0	-0.012002154055162	0
Conventional	ABO	ABO:P16442:OID30675:v1	ABO	P16442	OID30675	Inflammation_II	ABO	0	0	0.00805420679523414	0.0114888666405524	0.0232433158045828	0.0622722861102928	0.0674001052917419	0.0547062580024575	0.0220314321655256	0.0670124087619579	0.116980797522645
Conventional	ABRAXAS2	ABRAXAS2:Q15018:OID30130:v1	ABRAXAS2	Q15018	OID30130	Cardiometabolic_II	ABRAXAS2	0	0	0	-0.0000334465827675421	0	0	0	-0.0243002723180149	-0.0567988121405095	-0.0244158288931179	0
Conventional	ACAA1	ACAA1:P09110:OID21269:v1	ACAA1	P09110	OID21269	Oncology	ACAA1	0	0	0	0	-0.0381695967596543	-0.0448792359465055	-0.0418935907691001	-0.0356143178209874	0	0	0
Conventional	ACADM	ACADM:P11310:OID31277:v1	ACADM	P11310	OID31277	Oncology_II	ACADM	0	0	0	0.0071070996696219	0.00630975515302609	0.00761492569345874	0	0.00104590835812758	0.0124129380868318	0	0
Conventional	ACADSB	ACADSB:P45954:OID30356:v1	ACADSB	P45954	OID30356	Cardiometabolic_II	ACADSB	0	0	0	0	0	0	0	0	0	0	-0.0000147771046022438
Conventional	ACAN	ACAN:P16112:OID20159:v1	ACAN	P16112	OID20159	Cardiometabolic	ACAN	0	0.0712054898022435	0.0279691979915605	0	0.0218999696275235	0	0	0	0	0	0
Conventional	ACE	ACE:P12821:OID30696:v1	ACE	P12821	OID30696	Inflammation_II	ACE	0	0	0	0	0	0	0	0	0	0	0
Conventional	ACE2	ACE2:Q9BYF1:OID20105:v1	ACE2	Q9BYF1	OID20105	Cardiometabolic	ACE2	0	0	0	-0.0101780553475629	-0.0199368696562165	-0.0480174973826851	-0.0092151113426621	0	0	0	0
Conventional	ACHE	ACHE:P22303:OID30585:v1	ACHE	P22303	OID30585	Inflammation_II	ACHE	0	-0.0502928266952888	-0.0597088729362045	-0.0676003912917911	-0.0269511131894706	-0.0499649242120428	-0.0400552732338638	0	-0.0279309549551177	-0.0399848716903318	0
Conventional	ACOT13	ACOT13:Q9NPJ3:OID31522:v1	ACOT13	Q9NPJ3	OID31522	Oncology_II	ACOT13	0	0	0	0	0	0	0	0	0	0	0
Conventional	ACOX1	ACOX1:Q15067:OID20124:v1	ACOX1	Q15067	OID20124	Cardiometabolic	ACOX1	0	0	0	0	0	-0.00822828268672491	-0.0101043856173544	0	0	0	0
Conventional	ACP1	ACP1:P24666:OID30524:v1	ACP1	P24666	OID30524	Inflammation_II	ACP1	0	0	0	0.0291209116449136	0.0616064814437016	0.0713703479000286	0.0560194955029932	0.0368378819223212	0.0414015022218551	0.0333780478476291	0
Conventional	ACP5	ACP5:P13686:OID20314:v1	ACP5	P13686	OID20314	Cardiometabolic	ACP5	-0.0267932275697717	-0.114572592431375	-0.124689388636563	-0.0826323801746177	-0.0842276777313921	-0.0931497684702273	-0.0923341627615893	-0.081227016092314	-0.104777856361168	-0.0701332786756942	0
Conventional	ACP6	ACP6:Q9NPH0:OID21432:v1	ACP6	Q9NPH0	OID21432	Oncology	ACP6	0	0	-0.00485492284089142	-0.00380471622307975	-0.013312534436866	-0.00932547647781544	-0.0170803414851412	-0.00931869081061719	-0.0332832108029716	-0.0222533810838804	0.00177554359769393
Conventional	ACRBP	ACRBP:Q8NEB7:OID31385:v1	ACRBP	Q8NEB7	OID31385	Oncology_II	ACRBP	0	0.0232172195263311	0.0508719494806494	0.0475379080946979	0.0631260450874314	0.0829627969210366	0.0712333577903432	0.0745124602066381	0.0568165302372552	0.0216888885017601	0
Conventional	ACRV1	ACRV1:P26436:OID30513:v1	ACRV1	P26436	OID30513	Inflammation_II	ACRV1	0.303029294627065	0.240385337438527	0.278349418008166	0.263303381165819	0.202186250506154	0.182760019842458	0.217933169794159	0.263308865612919	0.227452898434595	0.181917564632606	0.0734924278796588
Conventional	ACSL1	ACSL1:P33121:OID30080:v1	ACSL1	P33121	OID30080	Cardiometabolic_II	ACSL1	0	0	0	0	0.00969807579646575	0	0.00506095623438343	0.022669349820716	0	0	0
Conventional	ACTA2	ACTA2:P62736:OID20079:v1	ACTA2	P62736	OID20079	Cardiometabolic	ACTA2	0.197030347042133	0.151137887230511	0.111115096015031	0.17040802528048	0.220402714453455	0.192430377150201	0.186273953801579	0.187563853357597	0.251014706844192	0.264530512478048	0.224080607171541
Conventional	ACTN2	ACTN2:P35609:OID30192:v1	ACTN2	P35609	OID30192	Cardiometabolic_II	ACTN2	0	0	0	0	0	0	0	0	0	0	0
Conventional	ACTN4	ACTN4:O43707:OID20435:v1	ACTN4	O43707	OID20435	Inflammation	ACTN4	0	0	0	0.0284498934735965	0	0	0	0	0	-0.0026594779584264	0.0234801406580639
